track_title,album_name,artist,release_year,song_length_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,Mood,decade
Why,Frankie Avalon,Frankie Avalon,2008-12-01,157718,28,0.408,0.869,0.213,0.0,0.101,-14.843,0.0295,0.643,94.608,4,1,1950
El Paso,Gunfighter Ballads And Trail Songs,Marty Robbins,1959,259306,63,0.654,0.835,0.452,2.89e-05,0.16,-9.709,0.03,0.691,106.662,3,1,1950
The Big Hurt,The Big Hurt,Miss Toni Fisher,2014-08-02,134373,0,0.625,0.724,0.576,0.0,0.0992,-8.186,0.0293,0.73,123.896,4,0,1950
It's Time To Cry,"Paul Anka Sings His Big Ten, Vol. 1",Paul Anka,1992-01-17,145466,29,0.311,0.731,0.314,0.0,0.335,-12.81,0.0325,0.565,109.983,3,1,1950
Way Down Yonder In New Orleans,Boom Boom Rock 'N' Roll,Freddy Cannon,2008-01-01,151600,22,0.278,0.471,0.809,0.0,0.198,-6.068,0.057,0.822,142.635,4,0,1950
Heartaches By The Number,20 Greatest Hits,Guy Mitchell,1995-01-01,154295,48,0.584,0.463,0.589,1.53e-05,0.069,-11.203,0.0718,0.842,172.484,4,0,1950
Among My Souvenirs,Gold,Connie Francis,2005-01-01,151280,0,0.472,0.414,0.483,6.88e-06,0.193,-6.218,0.0268,0.473,108.25,3,1,1950
Mack the Knife,The Ultimate Bobby Darin,Bobby Darin,2004-11-23,184333,53,0.549,0.76,0.529,0.0,0.206,-12.291,0.108,0.464,82.755,4,1,1950
Hound Dog Man,Fabian Avalon,Frankie Avalon,2011-09-30,119746,7,0.29,0.915,0.125,0.000243,0.0937,-17.262,0.0345,0.277,165.897,5,1,1950
Pretty Blue Eyes,The Best Of,Steve Lawrence,1961-01-01,114466,41,0.477,0.497,0.507,0.0,0.36,-11.802,0.0328,0.864,126.419,4,0,1950
Running Bear,Greatest Hits,Johnny Preston,2013-09-01,158200,38,0.772,0.854,0.297,7.59e-06,0.125,-14.679,0.053,0.822,119.987,4,1,1950
We Got Love,The Best Of Bobby Rydell,Bobby Rydell,2005-10-18,141866,20,0.552,0.66,0.667,0.0,0.1,-7.058,0.039,0.64,131.041,4,0,1950
Scarlet Ribbons (For Her Hair) (feat. Jim Ed Brown),The Complete Pop & Country Hits,The Browns,2013-08-02,156373,8,0.6,0.947,0.0949,0.0,0.131,-14.659,0.0283,0.288,97.28,3,1,1950
Lollipop,Famous One Hit Wonders - Back In Time Vol. 2,Various Artists,2013-07-20,144693,0,0.707,0.698,0.42,0.0044,0.202,-10.222,0.0395,0.596,112.556,4,1,1950
Sandy,Rubber Biscuit: Essential ‘50s Hits,Various Artists,2017-02-10,145026,0,0.633,0.47,0.484,0.000141,0.1,-8.507,0.0269,0.814,80.543,4,0,1950
So Many Ways,Brook Benton - The Best of Brook Benton,Brook Benton,2016-03-25,147095,10,0.54,0.748,0.34,7.81e-06,0.128,-12.654,0.0394,0.629,117.631,4,1,1950
"Go, Jimmy, Go",Pop Megahits Of The 1950's - Volume 2,Various Artists,2005,126426,15,0.684,0.435,0.374,0.0,0.131,-12.037,0.0358,0.846,142.815,4,0,1950
This Friendly World,Fabian Avalon,Frankie Avalon,2011-09-30,174120,4,0.35,0.948,0.0721,0.0,0.108,-20.681,0.0346,0.362,115.252,3,1,1950
Don't You Know?,A Bronx Tale - Music From The Motion Picture,Various Artists,1993-09-28,151706,35,0.149,0.799,0.367,0.0,0.0996,-13.011,0.0347,0.374,170.558,1,1,1950
Mr. Blue,Come Softly To Me: The Very Best Of The Fleetwoods,The Fleetwoods,1993-01-01,145133,59,0.374,0.931,0.0889,6.88e-06,0.111,-17.475,0.0356,0.211,96.677,4,1,1950
Smokie Part 2,Bill Black's Combo,Bill Black's Combo,2003-01-01,142733,13,0.769,0.314,0.273,0.952,0.0911,-9.071,0.0425,0.763,117.883,4,2,1950
Be My Guest,HMV Easy: The Fats Domino Collection,Fats Domino,2002-01-01,123386,0,0.637,0.627,0.537,0.0,0.0885,-7.975,0.0441,0.947,144.922,4,2,1950
