track_title,album_name,artist,release_year,song_length_ms,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,Mood
Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,1985,238733,80,0.596,0.0116,0.596,0.869,0.173,0.0678,-11.97,0.037,0.944,109.902,4,Happy
Shut Up and Dance,TALKING IS HARD,WALK THE MOON,2014-12-02,199080,83,0.578,0.00701,0.578,0.866,0.0,0.257,-3.804,0.0619,0.619,128.038,4,Happy
Oh Happy Day,Oh Happy Day: The Best Of The Edwin Hawkins Singers,The Edwin Hawkins Singers,2001-08-07,308600,52,0.321,0.0961,0.321,0.462,0.0,0.102,-10.711,0.0346,0.457,116.782,4,Happy
Good To Be Alive (Hallelujah),Magazines Or Novels (Deluxe Edition),Andy Grammer,2014-08-05,189869,0,0.784,0.0377,0.784,0.882,0.0,0.65,-3.646,0.0451,0.699,120.017,4,Happy
Best Day Of My Life,Best Day Of My Life,American Authors,2013-03-19,194000,0,0.672,0.0545,0.672,0.901,0.000285,0.0792,-2.415,0.0353,0.507,99.989,4,Happy
Happy,Despicable Me 2 (Original Motion Picture Soundtrack),Various Artists,2013-06-18,233305,2,0.652,0.286,0.652,0.757,0.0,0.0886,-6.819,0.153,0.962,159.911,4,Happy
Celebration,Celebrate!,Kool & The Gang,1980-09-29,298866,71,0.885,0.145,0.885,0.664,0.0483,0.0767,-11.795,0.0524,0.906,121.632,4,Happy
What A Wonderful World - Single Version,All Time Greatest Hits,Louis Armstrong,1994-01-01,140333,0,0.388,0.732,0.388,0.327,0.00103,0.15,-12.522,0.0317,0.222,107.894,3,Happy
Tubthumping,Tubthumper,Chumbawamba,1997-01-01,278960,64,0.263,0.106,0.263,0.871,0.0,0.363,-7.496,0.131,0.622,206.68,4,Happy
HAPPINESS,HAPPINESS,NEEDTOBREATHE,2016-04-01,205773,32,0.575,0.00703,0.575,0.765,0.0,0.331,-6.608,0.0345,0.407,98.037,4,Happy
Don't Stop Believin',The Essential Journey,Journey,2001-10-16,248906,76,0.491,0.25,0.491,0.802,0.0,0.387,-7.106,0.0392,0.472,119.25,4,Happy
Shake,Welcome to the New,MercyMe,2014-04-08,193840,17,0.484,0.00121,0.484,0.961,7.15e-06,0.099,-0.67,0.158,0.839,171.954,4,Happy
I Can See Clearly Now,We All Are One: The Best Of Jimmy Cliff,Jimmy Cliff,1969,196000,68,0.799,0.00482,0.799,0.662,0.000505,0.0484,-8.585,0.0347,0.717,120.082,4,Happy
Ain't No Mountain High Enough,United,Marvin Gaye,1967-08-29,151666,0,0.669,0.482,0.669,0.616,0.0,0.179,-10.776,0.033,0.818,130.037,4,Happy
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016-05-06,236001,79,0.667,0.0123,0.667,0.83,0.0,0.191,-5.715,0.0749,0.701,113.03,4,Happy
"Hakuna Matata - From ""The Lion King""/Soundtrack",Disney's Greatest Volume 2,Various Artists,2001-01-01,213733,44,0.418,0.622,0.418,0.328,1.74e-05,0.128,-17.067,0.127,0.68,164.315,4,Happy
Overcomer,Overcomer,Mandisa,2013-01-01,223626,60,0.697,0.00173,0.697,0.944,0.000162,0.32,-2.796,0.0327,0.846,119.994,4,Happy
I'm a Believer,The Best of The Monkees,The Monkees,2003,165613,61,0.502,0.595,0.502,0.772,2.47e-06,0.199,-6.205,0.0322,0.935,79.463,4,Happy
Beautiful Day,All That You Can't Leave Behind,U2,2000-01-01,246400,66,0.539,0.014,0.539,0.926,0.00136,0.36,-6.495,0.0499,0.454,136.279,4,Happy
I'm Gonna Be (500 Miles) - 2011 Remaster,Sunshine on Leith (2011 Remaster),The Proclaimers,2011-10-17,218706,42,0.87,0.206,0.87,0.515,0.0,0.109,-5.127,0.0433,0.783,131.777,4,Happy
Sweet Caroline,Sweet Caroline,Neil Diamond,1969-01-01,203573,0,0.525,0.623,0.525,0.131,0.000145,0.254,-15.937,0.0281,0.616,63.071,4,Happy
Dancing Queen,Arrival,ABBA,1976,230693,17,0.539,0.382,0.539,0.884,0.00166,0.76,-6.53,0.0403,0.752,100.812,4,Happy
Don't Worry Be Happy,The Collection,Bobby McFerrin,1997-01-01,292400,69,0.681,0.881,0.681,0.163,7.62e-05,0.0688,-22.597,0.165,0.771,69.283,4,Happy
Smile,Happy Hour,Uncle Kracker,2009-09-11,201626,70,0.541,0.203,0.541,0.812,0.0,0.42,-3.764,0.0336,0.607,141.056,4,Happy
Shackles (Praise You),Thankful,Mary Mary,2000-04-25,196240,58,0.79,0.0313,0.79,0.68,0.0,0.194,-7.807,0.153,0.813,100.442,4,Happy
It's Getting Better,Mama's Big Ones',Cass Elliot,1973-01-01,177226,0,0.561,0.337,0.561,0.441,1.53e-05,0.0568,-10.201,0.0284,0.843,133.891,4,Happy
"Oh, Happiness",Church Music,David Crowder Band,2009-01-01,197360,33,0.467,0.0433,0.467,0.87,0.0,0.588,-5.499,0.0704,0.384,99.502,4,Happy
Top Of The World,A Song For You,Carpenters,1972-01-01,179173,0,0.378,0.817,0.378,0.349,0.0,0.0999,-12.918,0.0455,0.663,184.428,4,Happy
"I'll Fly Away - From “O Brother, Where Art Thou” Soundtrack","O Brother, Where Art Thou? (Soundtrack)",Various Artists,2000-01-01,237866,0,0.684,0.985,0.684,0.253,0.0317,0.118,-13.561,0.0341,0.521,102.94,4,Happy
Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,1969-09-26,185733,84,0.557,0.0339,0.557,0.54,0.00248,0.179,-10.484,0.0347,0.394,129.171,4,Happy
Over the Rainbow,Alone In Iz World,Israel Kamakawiwo'ole,2001-09-25,211933,72,0.671,0.912,0.671,0.153,5.53e-05,0.0771,-13.569,0.0404,0.658,85.6,4,Happy
You Can Call Me Al,Graceland (25th Anniversary Deluxe Edition),Paul Simon,1986-08-12,280000,78,0.776,0.182,0.776,0.763,0.0065,0.077,-8.124,0.0535,0.82,128.433,4,Happy
Great Balls Of Fire,The Hits,Jerry Lee Lewis,1997-01-01,106133,0,0.401,0.537,0.401,0.897,1.44e-06,0.065,-8.016,0.0848,0.943,166.703,4,Happy
Sugar Sugar,Doogal,Doogal,2006-03-07,169373,0,0.754,0.398,0.754,0.708,0.0,0.129,-7.92,0.0278,0.965,122.471,4,Happy
Mr. Blue Sky,Mr. Blue Sky - The Very Best of Electric Light Orchestra,Electric Light Orchestra,2012-10-09,224120,0,0.577,0.63,0.577,0.625,0.000197,0.376,-5.384,0.0408,0.656,173.943,4,Happy
Lean on Me,Lean on Me: The Best of Bill Withers,Bill Withers,1994-08-09,257533,54,0.615,0.812,0.615,0.234,5.84e-06,0.161,-11.8,0.0536,0.412,75.188,4,Happy
Happy,Pocketful Of Sunshine,Natasha Bedingfield,2007-04-27,220386,35,0.595,0.0336,0.595,0.866,0.0,0.101,-3.483,0.196,0.707,88.731,4,Happy
59th Street Bridge Song (Feelin' Groovy),Feelin' Groovy: The Best Of Harpers Bizarre Featuring The 59th Street Bridge Song,Harpers Bizarre,1997,151146,27,0.536,0.681,0.536,0.372,0.0,0.3,-8.261,0.0419,0.521,132.323,4,Happy
Make Someone Happy,As Time Goes By: The Best Of Jimmy Durante,Jimmy Durante,1993-10-01,111986,43,0.348,0.636,0.348,0.2,0.0,0.124,-13.727,0.0474,0.421,169.821,3,Happy
All the People Said Amen,All The People Said Amen,Matt Maher,2013-04-19,180320,49,0.685,0.0247,0.685,0.875,0.0,0.0874,-5.217,0.056,0.82,94.987,4,Happy
Hey Ya!,The Way You Move / Hey Ya!,Outkast,2003,239240,67,0.715,0.0644,0.715,0.97,0.000156,0.205,-2.206,0.0648,0.963,79.504,4,Happy
Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,2015-01-12,269666,84,0.856,0.00801,0.856,0.609,8.15e-05,0.0344,-7.223,0.0824,0.928,114.988,4,Happy
September,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",1978-11-23,215093,82,0.697,0.168,0.697,0.832,0.00131,0.269,-7.264,0.0298,0.979,125.926,4,Happy
Mr. Blue Sky,Out of the Blue,Electric Light Orchestra,1977,303373,83,0.388,0.652,0.388,0.338,3.73e-06,0.248,-10.054,0.0329,0.478,177.765,4,Happy
Don't Stop Believin',Escape,Journey,1981,250986,83,0.5,0.127,0.5,0.748,0.0,0.447,-9.072,0.0363,0.514,118.852,4,Happy
Lovely Day,Menagerie,Bill Withers,1977-10-29,254560,78,0.69,0.292,0.69,0.651,0.00241,0.105,-8.267,0.0324,0.706,97.918,4,Happy
Come and Get Your Love - Single Version,Come and Get Your Love,Redbone,1973-11-01,205933,79,0.731,0.172,0.731,0.804,0.00028,0.0685,-7.621,0.0473,0.957,107.383,4,Happy
Friends & Family,Friends & Family,The Isley Brothers,2021-04-05,252524,39,0.79,0.344,0.79,0.503,0.0,0.0662,-11.169,0.109,0.881,101.05,4,Happy
Café Deluxe,Café Deluxe,Osei The Seventh,2021-02-19,180362,48,0.927,0.869,0.927,0.308,0.0,0.0907,-7.301,0.0836,0.969,130.009,4,Happy
My Wife & 2 Dogs,My Wife & 2 Dogs,Quinn XCII,2021-02-12,138703,65,0.845,0.084,0.845,0.563,0.0,0.0846,-5.133,0.103,0.762,148.013,4,Happy
It's Tricky,Raising Hell,Run–D.M.C.,1986-05-15,183426,75,0.956,0.000844,0.956,0.72,0.0,0.0597,-13.476,0.137,0.961,127.872,4,Happy
3 Nights,"Don't Forget About Me, Demos",Dominic Fike,2018-10-16,177666,71,0.815,0.223,0.815,0.518,0.0,0.104,-6.594,0.0897,0.877,151.891,4,Happy
Gotta Get Up,Nilsson Schmilsson,Harry Nilsson,1971,144893,58,0.424,0.064,0.424,0.438,0.0,0.0764,-15.192,0.0529,0.924,175.139,4,Happy
Drunk (And I Don't Wanna Go Home),Drunk (And I Don't Wanna Go Home),Elle King,2021-02-26,245625,76,0.612,0.00516,0.612,0.884,0.0,0.0997,-4.4,0.0459,0.626,119.991,4,Happy
Unwritten,Unwritten,Natasha Bedingfield,2004-08-30,259333,79,0.706,0.00584,0.706,0.8,0.0,0.0822,-6.333,0.0399,0.629,100.011,4,Happy
Dear Future Husband,Title (Deluxe),Meghan Trainor,2015-01-09,184226,76,0.655,0.375,0.655,0.782,0.0,0.317,-4.789,0.185,0.832,79.427,4,Happy
Raise Your Glass,Raise Your Glass,P!nk,2010-10-05,202960,79,0.7,0.0048,0.7,0.709,0.0,0.0289,-5.006,0.0839,0.625,122.019,4,Happy
Brokenhearted,Hello,Karmin,2012-05-07,227146,66,0.765,0.00765,0.765,0.765,3.82e-06,0.0527,-2.732,0.0585,0.886,120.001,4,Happy
This Feeling,Sick Boy,The Chainsmokers,2018-12-14,197946,77,0.575,0.0558,0.575,0.571,0.0,0.0912,-7.906,0.0439,0.449,105.049,4,Happy
Morning Sun,Morning Sun,Goldkimono,2021-03-12,196198,51,0.873,0.706,0.873,0.727,0.000105,0.327,-7.373,0.0679,0.835,110.037,4,Happy
Higher Love,Higher Love,Kygo,2019-06-28,228267,82,0.693,0.0154,0.693,0.678,6.05e-06,0.101,-7.159,0.0324,0.404,103.952,4,Happy
What Makes You Beautiful,Up All Night,One Direction,2012-05-25,198053,2,0.729,0.00761,0.729,0.771,0.0,0.087,-2.451,0.0725,0.873,125.011,4,Happy
nothing new,nothing new,shallow pools,2021-03-26,166182,33,0.636,0.189,0.636,0.748,2.66e-06,0.16,-3.158,0.0488,0.631,120.052,4,Happy
Paradise,Staying at Tamara's,George Ezra,2018-03-23,222044,72,0.642,0.209,0.642,0.881,0.0,0.21,-3.537,0.0393,0.913,138.03,4,Happy
Twistin' the Night Away,Twistin' the Night Away,Sam Cooke,1962-04,159853,65,0.458,0.691,0.458,0.801,0.0,0.328,-7.83,0.0565,0.93,160.547,4,Happy
You Make My Dreams (Come True),The Essential Daryl Hall & John Oates,Daryl Hall & John Oates,2005-04-25,190706,64,0.737,0.261,0.737,0.569,0.308,0.046,-6.702,0.0552,0.912,167.202,4,Happy
Wake Me Up Before You Go-Go,Make It Big,Wham!,1984-10-23,231333,81,0.62,0.271,0.62,0.573,0.0,0.0607,-11.893,0.0423,0.897,81.548,4,Happy
"Get Outta My Dreams, Get into My Car",Tear Down These Walls,Billy Ocean,1988-03-07,334186,61,0.661,0.0557,0.661,0.911,5.54e-06,0.348,-6.571,0.0417,0.919,117.147,4,Happy
Everyday People,The Essential Sly & The Family Stone,Sly & The Family Stone,2002,141266,40,0.814,0.255,0.814,0.514,0.0471,0.0605,-11.571,0.0295,0.787,114.06,4,Happy
Sunny,Take The Heat Off Me,Boney M.,1976,242240,71,0.647,0.0876,0.647,0.868,0.124,0.129,-6.427,0.105,0.803,121.822,4,Happy
Uptown Girl,The Essential Billy Joel,Billy Joel,2001-10-02,194866,68,0.696,0.0736,0.696,0.943,0.0,0.653,-2.962,0.0431,0.833,129.003,4,Happy
What I Like About You,Hits Of The 80s (100 Songs),Various Artists,2009-01-16,174933,36,0.426,0.00162,0.426,0.957,0.000617,0.291,-5.552,0.0634,0.888,159.977,4,Happy
"Happy - From ""Despicable Me 2""",G I R L,Pharrell Williams,2014-03-03,232720,82,0.647,0.219,0.647,0.822,0.0,0.0908,-4.662,0.183,0.962,160.019,4,Happy
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),Trolls,2016-09-23,237546,75,0.669,0.0106,0.669,0.832,0.0,0.0968,-5.72,0.0682,0.7,113.035,4,Happy
Can You Feel It - Jacksons X MLK Remix,Can You Feel It (Jacksons X MLK Remix),The Jacksons,2021-03-19,455576,50,0.839,0.0124,0.839,0.905,0.000265,0.224,-4.879,0.0636,0.849,123.517,4,Happy
Love On Top,4,Beyoncé,2011-06-24,267413,77,0.652,0.0849,0.652,0.748,0.0,0.604,-5.242,0.0887,0.652,94.1,4,Happy
I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston,1987-06-02,291293,84,0.709,0.207,0.709,0.824,0.000307,0.0888,-8.824,0.0453,0.867,118.818,4,Happy
Hot Stuff,Hot Stuff,Kygo,2020-09-18,199007,75,0.681,0.019,0.681,0.773,1.28e-06,0.11,-5.749,0.148,0.429,119.961,4,Happy
New Love (feat. Ellie Goulding),New Love (feat. Ellie Goulding),Silk City,2021-01-21,190680,66,0.786,0.0547,0.786,0.732,2.47e-06,0.342,-6.664,0.0421,0.631,123.982,4,Happy
Horizon (feat. Leon Bridges),Diplo Presents Thomas Wesley: Snake Oil (Deluxe),Diplo,2020-12-18,148033,59,0.639,0.0301,0.639,0.647,0.000142,0.0964,-6.537,0.0301,0.352,130.032,4,Happy
Shower,Shower,Becky G,2014-04-23,206166,83,0.699,0.0317,0.699,0.529,3.59e-05,0.285,-7.548,0.0487,0.121,119.987,4,Happy
Havana (feat. Young Thug),Camila,Camila Cabello,2018-01-12,217306,83,0.765,0.184,0.765,0.523,3.56e-05,0.132,-4.333,0.03,0.394,104.988,4,Happy
Shivers,Waves,Rachel Platten,2017-10-27,175333,52,0.838,0.0934,0.838,0.724,1.73e-06,0.0522,-3.025,0.0754,0.385,112.992,4,Happy
High On Life (feat. Bonn),High On Life (feat. Bonn),Martin Garrix,2018-07-29,230761,74,0.414,0.0129,0.414,0.486,0.0,0.111,-6.431,0.0311,0.368,128.038,4,Happy
Momma Always Told Me (feat. Stanaj & Yung Bae) - Matoma Remix,Momma Always Told Me (feat. Stanaj & Yung Bae) [Matoma Remixes],Mike Posner,2021-03-19,202222,57,0.703,0.00415,0.703,0.801,0.000248,0.134,-4.694,0.0333,0.672,108.001,4,Happy
Hey Baby (Drop It to the Floor) (feat. T-Pain),Planet Pit (Deluxe Version),Pitbull,2011-06-17,234453,73,0.595,0.0434,0.595,0.912,0.0,0.259,-3.428,0.0884,0.762,128.024,4,Happy
We R Who We R,Cannibal (Expanded Edition),Kesha,2010-11-19,204760,74,0.736,0.00987,0.736,0.817,0.00167,0.117,-4.9,0.0407,0.653,119.95,4,Happy
Electricity (with Dua Lipa),Electricity (with Dua Lipa),Silk City,2018-09-06,238173,77,0.588,0.0104,0.588,0.67,3.33e-06,0.338,-6.439,0.0473,0.505,118.159,4,Happy
Electric Feel,Oracular Spectacular,MGMT,2007-12-14,229640,80,0.763,0.0714,0.763,0.807,0.28,0.348,-3.714,0.035,0.559,103.038,3,Happy
Classic,MKTO,MKTO,2014,175426,48,0.72,0.0384,0.72,0.791,0.0,0.157,-4.689,0.124,0.756,102.071,4,Happy
Glory Days,Born In The U.S.A.,Bruce Springsteen,1984-06-04,254733,72,0.574,0.0457,0.574,0.96,0.0,0.121,-4.906,0.032,0.978,117.486,4,Happy
